x,y,label
0.9698885040899723,0.8144550505685498,1
0.39551214994344375,0.848690708005603,0
0.9989985298547664,0.5605826520217386,1
0.004997509389419563,0.2862345365314882,0
0.9816190464572048,0.7268229388086532,1
0.933663757091196,0.564686838134815,1
0.12784137615880165,0.1949073475726968,1
0.4743766307301128,0.18821134198186462,1
0.1943738366924822,0.2402631951405535,1
0.26924789489617174,0.6878750553761719,0
0.34502104710229553,0.5131230657936894,1
0.3552467193919705,0.4194352992645629,1
0.1452460861380941,0.7587141237670918,0
0.3105846805324365,0.7915953563501812,0
0.23873384112876161,0.2786650583208936,1
0.8991259064622809,0.9013591742643694,1
0.3685797431051626,0.5411754830023077,1
0.8327220724853669,0.9775217828713234,1
0.10754614019843345,0.48739957706224113,0
0.5626400716090373,0.39309472873515705,1
0.8383582522188934,0.9773532248128762,1
0.12027744344870828,0.8080963951862691,0
0.26018947705955076,0.20673551077701646,1
0.6225410126062587,0.696787505525478,1
0.40582120040038827,0.07263356517757724,1
0.5997305887500208,0.7926917271447177,1
0.08322956306136853,0.23555850704303383,1
0.40710708086182157,0.7833135058204669,0
0.4098302957990523,0.0960357173374542,1
0.160785782328434,0.28075365674907704,1
0.20899193323558363,0.45856246910430576,0
0.7590912265051295,0.18995474698920733,1
0.18723538080044766,0.6940640271337805,0
0.18559226447589316,0.052702761796184605,1
0.9131565878138628,0.5255246990001109,1
0.765492726343479,0.9570115643600837,1
0.3168700703168563,0.3110333501574334,1
0.05192651269062909,0.6546628339923595,0
0.7675631113218007,0.1437964020252005,1
0.569776043473405,0.6584345372206032,1
0.8618589757637853,0.5945631887240956,1
0.8029345855959649,0.48916748564644075,1
0.9893304986161484,0.644698711386351,1
0.3639215888458508,0.8455280421570613,0
0.23932479628078507,0.7049556834304476,0
0.24137235949294722,0.19431108163029387,1
0.7810653176644684,0.6488990874306592,1
0.7229607817838803,0.49813148729073975,1
0.16467021893627876,0.788791837492915,0
0.0037510039739583334,0.40465991794501033,0
0.8985957008898933,0.42535815611205385,1
0.9953892432391089,0.6696396037018701,1
0.522071692565057,0.19899164839470218,1
0.8096315286656743,0.3168126838815344,1
0.23576177125908493,0.5838728193569429,0
0.6727749415913638,0.41272985865820533,1
0.010507994358075035,0.49313792679866564,0
0.3800171728366275,0.3327456519479236,1
0.9381034968256196,0.20258572122129148,1
0.13391167264379045,0.587700426840335,0
0.5126458448898003,0.88583367971671,0
0.8788682176901909,0.332253134113092,1
0.14237962698082707,0.08732283945913832,1
0.7354445554942477,0.68121077311817,1
0.0023670896854401935,0.09931284262355533,1
0.9160057658515108,0.261498948253611,1
0.32198576052393957,0.2907879313957986,1
0.7994617802239872,0.8081939411248691,1
0.8851888336494287,0.26940152677995644,1
0.6508241062789962,0.5603738699266246,1
0.0674475316423867,0.54134430974622,0
0.7039505608404072,0.7735012443409491,1
0.3840699556138436,0.7009042165545211,0
0.9440954718617572,0.706877575065801,1
0.30594472595707867,0.4765429949875598,1
0.6126002189970573,0.4339791622496334,1
0.7199190325967914,0.9848133958082099,0
0.9714487933587641,0.9452502218951734,1
0.1825370855540821,0.2642563278496488,1
0.14177475173563825,0.8872245471559153,0
0.6726903866510283,0.37372847823818456,1
0.5726327771682255,0.3719170433336545,1
0.11374499273037109,0.15152241146245948,1
0.24871336134664512,0.40870239952549947,1
0.4079166012361586,0.7472065547325144,0
0.09819333111571771,0.2818016267592719,1
0.9757146283395185,0.7012535420943197,1
0.8188085304191548,0.4824364720393699,1
0.1646591753129355,0.4986509198991689,0
0.7846099989211667,0.37637451758576645,1
0.25543626103635986,0.8271533983248869,0
0.8211980808019813,0.8121087179734326,1
0.42964549183373946,0.6907191091234138,0
0.4402256887776459,0.35686355102859724,1
