x,Levels
37.55255548,24.58016946
81.14526768,19.1870012
0.273642854,50.1612675
43.3104345,26.11068054
67.25326398,26.74618595
65.8618506,27.77999847
62.9938036,22.32507746
40.29228258,27.536991
66.56026971,29.74428224
16.84546534,22.07787041
18.60193248,16.09736062
31.27485832,24.72528226
71.29812985,26.49065297
64.99664828,26.52441735
68.18109258,28.76117098
82.06127073,21.70914498
18.31302403,13.93114754
6.456974351,29.72944356
34.39946177,15.44186196
33.28476449,19.73619413
107.319051,76.32868
91.94067663,38.45044968
5.790999795,31.84557492
51.58334177,30.14250324
21.37892652,14.69389059
78.70145119,21.39710423
71.58382356,35.28709196
10.82777146,30.82221642
20.93833194,18.78465485
98.00300859,35.83761724
90.00587556,25.45763721
49.57693332,24.61406528
50.27736282,26.90175974
50.66819916,29.80061578
45.19560068,29.26871224
57.38266162,28.54522919
68.50659437,26.76828911
79.85485745,17.10620531
18.9772835,9.322737849
14.64309342,13.69564464
74.1794085,18.14481976
27.4520127,14.58997027
40.27903968,26.71917951
54.14757296,40.39179919
89.36518995,27.67460352
50.77388617,30.24480903
62.90394511,31.53798185
70.56006923,18.6533952
50.55647262,32.58769991
24.59502651,19.17614155
18.5272489,18.9012345
7.88992139,28.66373544
2.443993968,38.58154574
55.33632718,30.06579115
46.7935573,17.30155928
62.44710843,29.4300555
82.61395294,20.58605931
59.07007409,18.66295726
7.26858892,30.39971924
89.27601064,22.65063452
8.169093572,32.86988241
47.0387812,20.73516345
3.443972159,41.71629795
79.90551389,20.96730814
60.86766866,27.91296374
91.72557891,23.8379702
33.62352172,22.77985453
85.5822758,27.88154159
5.04454396,38.88133451
18.47163034,12.43508235
78.70970524,19.45089873
91.99339421,32.60083088
100.6807831,44.09567587
97.11949399,27.45738079
108.4918559,73.08373839
39.68895442,17.83291076
7.734383208,28.17958324
76.2491109,21.22485323
62.37354838,31.05998469
107.7907197,70.20554458
97.21851676,41.28447746
61.26093708,22.86463983
53.56634799,21.86608356
26.42367045,23.28032148
85.35316687,25.41460514
69.05719338,23.24682684
42.1031507,20.15474449
9.858005713,39.32612059
64.69692818,27.86913857
40.22597001,29.53629479
40.71594982,38.77472887
70.93456472,20.64151312
25.48567773,22.50627805
19.48313541,16.66552553
98.74592129,30.40285595
91.63304501,24.38771153
39.70949696,31.29848598
98.09155859,33.24312555
64.95222316,25.95636735
20.46354306,24.96542076
83.52463969,16.71534103
63.14499241,28.54583259
108.0038741,63.73187631
86.66838311,21.16469491
14.78869186,16.64029224
30.44603832,18.05245327
90.67683449,18.36838102
9.560203463,32.60541152
4.349788424,39.82203154
35.63063336,22.47042147
15.66092442,22.67983646
35.1176125,20.76201009
91.35534358,19.56511633
70.36194935,19.25797508
66.27136245,29.5623903
9.483304923,36.24375723
75.91591956,15.83549361
13.59031288,19.55295088
23.49703404,24.91074739
42.12128178,31.44345109
7.124393086,39.75027532
105.9301376,66.39675319
47.86565554,30.78895684
34.94809758,7.441421121
11.11223532,27.73736568
65.05016564,15.70354485
57.44939706,25.71466906
74.8198121,22.15597007
58.06533933,21.79538759
95.27069172,31.60973226
79.05674894,24.13901567
50.27341768,31.0148996
95.26399394,30.231462
23.91423935,17.7153555
48.11655864,37.69556999
21.92831488,12.30343237
18.96844897,18.07491664
85.13861312,16.16331681
76.85431234,21.1347117
62.46587052,15.9295213
34.17971669,16.94457337
25.28591586,20.393909
16.41658558,20.92167628
67.50969427,31.86390423
92.8213257,33.82598502
82.24614624,15.92260556
11.96807106,16.42306778
96.79413956,25.21167477
11.20283087,21.02559403
81.18027786,17.32658156
101.484913,41.28746776
35.09616575,16.83916012
84.26746276,28.21531642
109.8187092,70.87199931
108.5821854,70.35218548
9.475646395,31.70900802
105.7349728,61.39758664
93.24090083,31.11463469
96.20352506,27.6331614
24.27231322,18.47548946
42.44010474,19.89120925
26.00354741,18.63029003
94.1510482,26.70388646
56.06415076,29.60284087
16.24845816,20.64219241
107.9113761,71.48677015
63.13673705,29.37520993
24.52520333,12.28896223
106.3109329,69.29790704
81.91383274,19.86343523
78.6513139,19.36601303
72.61837235,28.36226112
21.37483192,16.04686183
95.24598046,20.71454582
66.31728033,27.80105827
94.10647976,32.23367018
13.18753317,29.58309905
28.66393029,19.20133174
2.238639901,35.65172029
106.8025813,67.20944337
